city;country;population
Sutton in Ashfield;United Kingdom;43912
Sutton Bridge;United Kingdom;3882
Sutton;United Kingdom;3816
Sutton;United Kingdom;0
Stretford;United Kingdom;41953
Strathblane;United Kingdom;1960
Koutouba;China;6808
Tianchi;China;6196
Shili;China;38961
Xinghua;China;2110
Liushun;China;8876
Yuanyang;China;26352
Beidajie;China;0
Chaoyang;China;13524
Dongcheng;China;0
Xinle;China;3256
Tiemen;China;5212
Huilong;China;32070
Zhongling;China;16530
Longtang;China;5280
Xintian;China;18249
Dawangzhuang;China;0
Heshun;China;11899
Fenglai;China;11036
Baisheng;China;41114
Yunji;China;27564
Tianfu;China;30980
Dashi;China;61426
Longfeng;China;20334
Jiao;China;0
Xingshan;China;0
Zhongqiao;China;7668
Delong;China;5279
Xuri;China;0
Guitang;China;0
Mugala;China;30179
Dongping;China;0
Baluntaicun;China;5300
Sadikyüzi;China;5229
Onyar;China;26322
Lianyungang;China;2001009
Xindian;China;44409
Daxu;China;66563
Jitai;China;52144
Minning;China;24696
Shatian;China;14686
Fengping;China;69586
Puchuan;China;27049
Awu;China;9677
Fengwang;China;8540
Duo'er;China;3751
Bingtuan Sanshiliu Tuan;China;7600
Kalasu;China;14756
Yingwusitang;China;10582
Yishikuli;China;29930
Zhongshan;China;20509
Zouma;China;12699
Jinzhu;China;1145
Suaza;Colombia;2481
Suaita;Colombia;2691
San Juanito;Colombia;0
Ragonvalia;Colombia;3543
Purificación;Colombia;29539
Popayán;Colombia;318059
Managrú;Colombia;0
Los Santos;Colombia;0
La Llanada;Colombia;2747
La Capilla;Colombia;0
Labranzagrande;Colombia;902
Jericó;Colombia;7750
Güicán;Colombia;2101
Gualmatán;Colombia;2510
Gigante;Colombia;36055
Gamarra;Colombia;12444
El Rosario;Colombia;6498
El Peñol;Colombia;2294
Córdoba;Colombia;4063
Chiriguaná;Colombia;27006
Chachagüí;Colombia;4899
Buenavista;Colombia;0
Providencia;Colombia;0
Bochalema;Colombia;2511
Aipe;Colombia;7964
Acacías;Colombia;40627
Ábrego;Colombia;10822
Laureles;Colombia;1910
Puerto Concordia;Colombia;8086
Piamonte;Colombia;0
Puerto Lleras;Colombia;0
Valdivia;Colombia;0
San Vicente;Costa Rica;34447
San Diego;Costa Rica;16991
Paquera;Costa Rica;1510
Liberia;Costa Rica;45380
Jacó;Costa Rica;4085
Aserrí;Costa Rica;25874
Tamarindo;Costa Rica;6375
Rancho Veloz;Cuba;4549
Perico;Cuba;24073
Jatibonico;Cuba;19644
Cumanayagua;Cuba;38687
Colón;Cuba;63882
Camagüey;Cuba;347562
Calimete;Cuba;23255
Bolivia;Cuba;0
Emba;Cyprus;4855
Žabčice;Czech Republic;1492
Všenory;Czech Republic;1684
Vřesina;Czech Republic;1334
Vestec;Czech Republic;1143
Velké Popovice;Czech Republic;1926
Velká Dobrá;Czech Republic;1264
Václavovice;Czech Republic;1544
Tišice;Czech Republic;1460
Teplice;Czech Republic;51223
Sviadnov;Czech Republic;1352
Stráž;Czech Republic;1057
Slavičín;Czech Republic;7079
Slaný;Czech Republic;15070
Seč;Czech Republic;1686
Prostřední Bečva;Czech Republic;1661
Písek;Czech Republic;1776
Perštejn;Czech Republic;1017
Pěnčín;Czech Republic;1769
Otrokovice;Czech Republic;18857
Oskava;Czech Republic;1471
Odolena Voda;Czech Republic;4451
Nový Hrozenkov;Czech Republic;2714
Nové Veselí;Czech Republic;1236
Nová Cerekev;Czech Republic;1097
Netolice;Czech Republic;2721
Mohelno;Czech Republic;1424
Milín;Czech Republic;2053
Malonty;Czech Republic;1135
Lužice;Czech Republic;2750
Loučovice;Czech Republic;1955
Kožlany;Czech Republic;1374
Kamenné Žehrovice;Czech Republic;1667
Hradec nad Moravicí;Czech Republic;5255
Hovorčovice;Czech Republic;1198
Horní Suchá;Czech Republic;4466
Holoubkov;Czech Republic;1485
Hluk;Czech Republic;4424
Halenkovice;Czech Republic;1701
Dolní Bojanovice;Czech Republic;2859
Darkovice;Czech Republic;1210
Chomutov;Czech Republic;50251
Cheb;Czech Republic;33242
Česká Skalice;Czech Republic;5402
Býšť;Czech Republic;1115
Brumovice;Czech Republic;1464
Brantice;Czech Republic;1215
Bošovice;Czech Republic;1071
Borovany;Czech Republic;3739
Bohuslavice;Czech Republic;1560
Benešov nad Černou;Czech Republic;1259
Zell;Germany;8043
Zarrendorf;Germany;1127
Wriedel;Germany;2596
Wittorf;Germany;5809
Witterda;Germany;1153
Wittelshofen;Germany;1274
Wilthen;Germany;6304
Wildeshausen;Germany;18114
Wetter;Germany;8841
Wesseln;Germany;1398
Wernshausen;Germany;3143
Welzow;Germany;4240
Weißdorf;Germany;1382
Weisen;Germany;1103
Weinsheim;Germany;1046
Weingarten;Germany;23802
Weikersheim;Germany;7569
Weidenthal;Germany;2018
Weidenbach;Germany;2276
Weibersbrunn;Germany;2142
Weißensee;Germany;47693
Wegscheid;Germany;5817
Warnow;Germany;1073
Wanzleben;Germany;5397
Waldbrunn;Germany;2582
Wadgassen;Germany;18464
Volkenschwand;Germany;1634
Vinningen;Germany;1723
Urbach;Germany;1013
Unlingen;Germany;2512
Uftrungen;Germany;1122
Thiendorf;Germany;2298
Tettau;Germany;2516
Teistungen;Germany;2566
Tacherting;Germany;5704
Süpplingen;Germany;1857
Sulz am Neckar;Germany;12763
Suhl;Germany;43509
Stützerbach;Germany;1698
Stockheim;Germany;5286
Steinigtwolmsdorf;Germany;3422
Stammbach;Germany;2623
Bad Staffelstein;Germany;10618
Stadum;Germany;1058
Stadtkyll;Germany;1600
Spechbach;Germany;1734
Söchtenau;Germany;2616
Siershahn;Germany;2879
Siegsdorf;Germany;8230
Seelitz;Germany;2114
Buttelstedt;Germany;1411
Burgschwalbach;Germany;1142
Burgberg;Germany;3124
Burg;Germany;4549
Brunsbüttel;Germany;13950
Brüel;Germany;3140
Breidenbach;Germany;6866
Bredstedt;Germany;5146
Brakel;Germany;17808
Böttingen;Germany;1525
Bönen;Germany;19393
Bollingstedt;Germany;1445
Blankenburg;Germany;6913
Blankenburg;Germany;15963
Blaichach;Germany;5625
Birkenwerder;Germany;7122
Besigheim;Germany;11883
Bernstadt;Germany;4046
Berge;Germany;3772
Benneckenstein;Germany;2256
Beltheim;Germany;2075
Belgershain;Germany;3503
Barkelsby;Germany;1564
Balje;Germany;1109
Baiersbronn;Germany;16248
Bad Windsheim;Germany;12022
Bad Eilsen;Germany;2288
Babenhausen;Germany;16575
Außernzell;Germany;1423
Attenhofen;Germany;1352
Arnstadt;Germany;25678
Arneburg;Germany;1754
Alsheim;Germany;2691
Allendorf an der Lahn;Germany;4170
Allendorf;Germany;5719
Aholming;Germany;2234
Aholfing;Germany;1735
Abensberg;Germany;12570
Eggermühlen;Germany;1792
Apfeldorf;Germany;1056
Eggingen;Germany;1774
Niefern-Öschelbronn;Germany;12341
Viereth-Trunstadt;Germany;3684
Schwanau;Germany;6858
Weststadt;Germany;12141
Fehmarn;Germany;12875
Südstadt;Germany;2781
Helmstadt-Bargen;Germany;3718
Tjæreborg;Denmark;2904
Støvring;Denmark;9089
Snoghøj;Denmark;2371
Odder;Denmark;12454
Karise;Denmark;2392
Hørve;Denmark;2382
Brejning;Denmark;2220
Bjerringbro;Denmark;7437
Roseau;Dominica;16571
Portsmouth;Dominica;3633
Santa Cruz de Barahona;Dominican Republic;77160
Sabaneta;Dominican Republic;16380
Punta Cana;Dominican Republic;100023
Peralta;Dominican Republic;7236
El Carril;Dominican Republic;2643
Cotuí;Dominican Republic;41641
Cevicos;Dominican Republic;4064
Azua;Dominican Republic;59139
Saoula;Algeria;16812
M’sila;Algeria;100000
Ksar Chellala;Algeria;58478
Hammam Bou Hadjar;Algeria;35896
El Hadjar;Algeria;46656
Béni Abbès;Algeria;11416
Azazga;Algeria;40623
Yaguachi Nuevo;Ecuador;27947
Santa Clara;Ecuador;0
Puerto Bolívar;Ecuador;8300
Pasaje;Ecuador;44860
Manta;Ecuador;264281
Jipijapa;Ecuador;35901
Esmeraldas;Ecuador;218727
Turba;Estonia;1096
Tartu;Estonia;91407
Paikuse;Estonia;1996
Kiviõli;Estonia;4725
Qalyūb;Egypt;156363
Al Qurayn;Egypt;61730
Al Manşūrah;Egypt;621953
Ain Sukhna;Egypt;45552
Saint Catherine;Egypt;4603
Villavieja;Spain;3352
Villarta de San Juan;Spain;3073
Villarrasa;Spain;2142
Villanueva de la Fuente;Spain;2602
Villanueva de Córdoba;Spain;10057
Villagordo del Júcar;Spain;1125
Vilafranca de Bonany;Spain;2521
Villa de Don Fadrique;Spain;4200
Velada;Spain;2429
Vara de Rey;Spain;629
Valdés;Spain;13529
Valdelacasa de Tajo;Spain;500
Torrejoncillo del Rey;Spain;646
Torás;Spain;280
Talavera La Real;Spain;5376
Soportújar;Spain;273
Socovos;Spain;1909
Sierro;Spain;452
Sevilla;Spain;684234
Serra;Spain;2335
Santo Tomé;Spain;2273
Santa Elena;Spain;996
San Pedro de Mérida;Spain;791
Salar;Spain;2772
Ríogordo;Spain;2701
Pulgar;Spain;1393
La Pobla Llarga;Spain;4482
Puebla de Don Rodrigo;Spain;1242
Marjaliza;Spain;300
Manises;Spain;30508
Loriguilla;Spain;1177
Llera;Spain;943
Letur;Spain;1206
La Palma del Condado;Spain;10762
La Guardia;Spain;2329
Jorquera;Spain;503
Hornachuelos;Spain;4667
Gilet;Spain;2118
Gérgal;Spain;1080
Fuente Obejuna;Spain;5451
Fuente el Fresno;Spain;3454
Fresnedoso de Ibor;Spain;349
Foios;Spain;6035
Fornalutx;Spain;698
Férez;Spain;804
Estellencs;Spain;386
Esparragalejo;Spain;1524
El Ejido;Spain;84710
Domingo Pérez;Spain;501
Coripe;Spain;1411
Conil de la Frontera;Spain;20984
Catarroja;Spain;27035
Catadau;Spain;2487
Carrascosa de Haro;Spain;141
Canjáyar;Spain;1568
Cañada de Calatrava;Spain;106
Cañada;Spain;0
Campillo de Llerena;Spain;1631
Callosa de Segura;Spain;17924
Cala;Spain;0
Cadiz;Spain;126766
Benaoján;Spain;1661
Belmonte;Spain;2360
Baterno;Spain;358
Armilla;Spain;21380
Almogía;Spain;4231
Almedinilla;Spain;2561
Almargen;Spain;2054
Aldea del Cano;Spain;746
Albuixech;Spain;3443
Alanís;Spain;0
Aguadulce;Spain;13886
Abrucena;Spain;1379
Zarzuela del Monte;Spain;510
Zarratón;Spain;248
Zapardiel de la Cañada;Spain;157
Yebra de Basa;Spain;165
Biure;Spain;0
Vindel;Spain;30
Villovieco;Spain;105
Villatuerta;Spain;1026
Villarmayor;Spain;212
Villaquirán de la Puebla;Spain;54
Villanuño de Valdavia;Spain;108
Vilanova de Arousa;Spain;10719
Villanúa;Spain;411
Villaferrueña;Spain;154
Villafáfila;Spain;629
Villaco;Spain;113
Vilanova de Bellpuig;Spain;1121
Vilamalla;Spain;885
Vilabella;Spain;772
Verín;Spain;14391
Vega de Tirados;Spain;286
Valverde de Valdelacasa;Spain;64
Valls;Spain;25092
Vallanca;Spain;190
Valderrobres;Spain;2077
Valdeprado;Spain;21
Valdepiélago;Spain;431
Valdehijaderos;Spain;108
Usurbil;Spain;5559
Torrejón de la Calzada;Spain;5339
Torrecuadradilla;Spain;51
Tavertet;Spain;153
Soto de Cerrato;Spain;207
Sos del Rey Católico;Spain;737
Soliedra;Spain;38
Sarrià de Ter;Spain;4001
Santibáñez de Tera;Spain;592
Santed;Spain;75
Santa María del Monte de Cea;Spain;321
Santa María de la Isla;Spain;624
Santa María de la Alameda;Spain;992
Santa Eulalia;Spain;1063
San Miguel de Valero;Spain;382
San Martín de Valvení;Spain;108
San Martín de Valderaduey;Spain;0
San Martín de Trevejo;Spain;965
San Juan de la Nava;Spain;626
San Esteban de los Patos;Spain;36
San Esteban de Gormaz;Spain;3268
San Cristóbal de Cuéllar;Spain;201
San Cristóbal de Boedo;Spain;37
Salvatierra de Miño;Spain;9566
Salinas de Pisuerga;Spain;351
Saldías;Spain;121
Salcedillo;Spain;8
Ruente;Spain;992
Rollán;Spain;538
Roa;Spain;2251
Rivilla de Barajas;Spain;0
Rillo de Gallo;Spain;73
Riego de la Vega;Spain;993
Riaza;Spain;2054
Reznos;Spain;42
Pueyo de Santa Cruz;Spain;326
Pravia;Spain;0
Pinilla de los Moros;Spain;42
Pedroso;Spain;99
Pamplona;Spain;209672
Pálmaces de Jadraque;Spain;68
Osornillo;Spain;82
Olmos de Esgueva;Spain;210
Ojos-Albos;Spain;58
Nigüella;Spain;92
Nava de Roa;Spain;240
Navacerrada;Spain;2402
Murillo de Río Leza;Spain;1231
Mugardos;Spain;5514
Morales del Vino;Spain;2160
Montederramo;Spain;1085
Montarrón;Spain;41
Mollerussa;Spain;14319
Miraflores de la Sierra;Spain;5105
Mejorada;Spain;1272
Mataró;Spain;121722
Mataporquera;Spain;1323
El Masnou;Spain;23340
Marcilla;Spain;2637
Manjarrés;Spain;127
Mañeru;Spain;378
Maleján;Spain;284
Malaguilla;Spain;136
Madrid;Spain;3255944
Leganiel;Spain;244
Ledrada;Spain;570
Laguna de Duero;Spain;21762
Laguna Dalga;Spain;845
Itero de la Vega;Spain;213
Illescas;Spain;21264
Ibeas de Juarros;Spain;1279
Husillos;Spain;200
Humanes de Madrid;Spain;18098
Huarte-Uharte;Spain;3879
Hornillos de Cameros;Spain;15
Herreros de Suso;Spain;191
Herramélluri;Spain;130
Gamones;Spain;105
Fuentidueña de Tajo;Spain;1673
Fuentespalda;Spain;379
Fuentes de Carbajal;Spain;0
Fonfría;Spain;29
Fogars de Montclús;Spain;0
Fayón;Spain;404
Espinosa de Henares;Spain;668
Espadilla;Spain;58
Escopete;Spain;74
Escalona;Spain;2700
Erandio;Spain;24262
Encinas de Abajo;Spain;648
El Prat de Llobregat;Spain;63418
Figaró;Spain;1020
Etxalar;Spain;813
Driebes;Spain;360
Deza;Spain;343
Darnius;Spain;514
Daganzo de Arriba;Spain;7242
Cubillos del Sil;Spain;1431
Covarrubias;Spain;621
Cosuenda;Spain;387
Comillas;Spain;2156
Coca;Spain;2042
Cirat;Spain;304
Chamartín;Spain;140000
Celada del Camino;Spain;102
Castilnuevo;Spain;11
Castillejo de Martín Viejo;Spain;315
Castandiello;Spain;3072
Canicosa de la Sierra;Spain;565
Canet de Mar;Spain;14123
Campazas;Spain;151
Calzada del Coto;Spain;284
Cabezón de la Sierra;Spain;64
Cabezas del Villar;Spain;419
Brihuega;Spain;2776
Bretocino;Spain;284
Bordils;Spain;1434
Bocos de Duero;Spain;72
Bimenes;Spain;1948
Bergondo;Spain;6446
Bergasillas Bajera;Spain;31
Berdejo;Spain;68
Benifallet;Spain;804
Benasque;Spain;2231
Barjas;Spain;355
Barásoain;Spain;572
Barajas de Madrid;Spain;43423
Argecilla;Spain;98
Arenzana de Abajo;Spain;252
Arandilla;Spain;188
Antillón;Spain;168
Altzaga;Spain;0
Alpicat;Spain;6230
Almonacid de la Cuba;Spain;300
Allepuz;Spain;151
Alcanadre;Spain;754
Albons;Spain;558
Ahigal;Spain;1583
Acebo;Spain;702
Abizanda;Spain;130
Abiego;Spain;290
Puerto del Carmen;Spain;30000
Sarrià-Sant Gervasi;Spain;147912
Oliver-Valdefierro;Spain;30228
Villa de Vallecas;Spain;65162
Sant Antoni;Spain;38512
el Guinardó;Spain;35991
Lobuni;Ethiopia;3363
Kemisē;Ethiopia;23861
Bonga;Ethiopia;18973
Bodītī;Ethiopia;32997
Ylämaa;Finland;1415
Vilppula;Finland;5422
Viitasaari;Finland;7511
Varpaisjärvi;Finland;3007
Mitsukaidō;Japan;41147
Matsubara;Japan;130855
Koga;Japan;138446
Karatsu;Japan;117663
Kanbara;Japan;12777
Kakogawachō-honmachi;Japan;271634
Hirara;Japan;34354
Fuchūchō;Japan;50746
Ashiya;Japan;14182
Fussa;Japan;56786
Shibayama;Japan;7122
Shimizu;Japan;9784
Otobe;Japan;3925
Obihiro;Japan;165851
Naie;Japan;5664
Yoichi;Japan;18993
Kuroishi;Japan;38615
Kaminokuni;Japan;5161
Imabetsu;Japan;2562
Aibetsu;Japan;2992
Kawage;Japan;17948
Tsukubamirai;Japan;0
Midori;Japan;50266
Tsurugashima;Japan;0
Tsugaru;Japan;0
Oda;Japan;0
Isen;Japan;6594
Taishi;Japan;13634
Fujiyoshida;Japan;48782
Hamura;Japan;54622
Funabashi;Japan;0
Akiruno;Japan;0
Kyōtanabe;Japan;0
Nairobi;Kenya;2750547
Isiolo;Kenya;33207
Hola;Kenya;6932
Naryn;Kyrgyzstan;41178
Ta Khmau;Cambodia;52066
Kampot;Cambodia;22691
Kampong Cham;Cambodia;61750
Djoyézi;Comoros;2854
Chezani;Comoros;2322
Nicola Town;Saint Kitts and Nevis;2059
Fig Tree;Saint Kitts and Nevis;2922
Chaeryŏng-ŭp;Korea, Dem. People's Rep. of;53330
Pukchil-lodongjagu;Korea, Dem. People's Rep. of;14129
Aoji;Korea, Dem. People's Rep. of;34248
Mungyeong;Korea, Republic of;77304
Imsil;Korea, Republic of;37514
Yongsan-dong;Korea, Republic of;12612
Haseong;Korea, Republic of;0
Gyeombaek;Korea, Republic of;0
Saykhin;Kazakhstan;0
Munayshy;Kazakhstan;4085
Embi;Kazakhstan;18760
Zhangaqala;Kazakhstan;5954
Aqsay;Kazakhstan;34799
Torghay;Kazakhstan;5277
Tasbuget;Kazakhstan;16455
Belköl;Kazakhstan;1486
Vientiane;Lao People's Dem. Rep.;196731
Muang Nalè;Lao People's Dem. Rep.;0
Dennery;Saint Lucia;2870
Kilinochchi;Sri Lanka;13006
Leribe;Lesotho;38558
Žagarė;Lithuania;1309
Telsiai;Lithuania;21294
Obeliai;Lithuania;1247
Juodupė;Lithuania;1989
Schengen;Luxembourg;470
Lintgen;Luxembourg;1752
Heffingen;Luxembourg;623
Bettborn;Luxembourg;231
Ulbroka;Latvia;2800
Tērvete;Latvia;2132
Smārde;Latvia;734
Saulkrasti;Latvia;3184
Pļaviņas;Latvia;3848
Lubāna;Latvia;1918
Mārupe;Latvia;0
Zalţan;Libyan Arab Jamahiriya;17700
Al Burayqah;Libyan Arab Jamahiriya;13780
Martil;Morocco;39738
Taraclia;Moldova, Republic of;13512
Codru;Moldova, Republic of;15934
Bender;Moldova, Republic of;110175
Petrovac na Moru;Montenegro;1485
Cetinje;Montenegro;15137
Tsiombe;Madagascar;29825
Ihosy;Madagascar;16990
Fenoarivo Atsinanana;Madagascar;41734
Beteza;Madagascar;7000
Ambatolampy;Madagascar;28461
Jabat;Marshall Islands;112
Vataša;Macedonia, The former Yugoslav Rep. of;2802
Nerašte;Macedonia, The former Yugoslav Rep. of;2901
Miladinovci;Macedonia, The former Yugoslav Rep. of;1315
Cresevo;Macedonia, The former Yugoslav Rep. of;1479
Bitola;Macedonia, The former Yugoslav Rep. of;69287
Butel;Macedonia, The former Yugoslav Rep. of;36154
Buyant;Mongolia;0
Bürenhayrhan;Mongolia;0
Bugat;Mongolia;0
Bayanhoshuu;Mongolia;0
Ulaanjirem;Mongolia;0
Tsomog;Mongolia;0
Sümiyn Bulag;Mongolia;0
Sergelen;Mongolia;0
Senj;Mongolia;0
Dzogsool;Mongolia;0
Dalay;Mongolia;0
Bornuur;Mongolia;0
Baruunsuu;Mongolia;0
Le Morne-Rouge;Martinique;5469
Le François;Martinique;19682
Fort-de-France;Martinique;89995
KeurMassène;Mauritania;2049
Santa Venera;Malta;7590
Naxxar;Malta;14890
Lija;Malta;3202
Kirkop;Malta;2397
Roche Terre;Mauritius;3199
Montagne Blanche;Mauritius;8661
Grand Bois;Mauritius;7804
Camp Thorel;Mauritius;2299
Meedhoo;Maldives;1726
Mahibadhoo;Maldives;2156
Kulhudhuffushi;Maldives;9500
Naifaru;Maldives;5044
Rumphi;Malawi;20727
Livingstonia;Malawi;5552
Dedza;Malawi;15608
Zacamixtle;Mexico;1248
Xul-Ha;Mexico;2037
Xometla;Mexico;4454
Xalitla;Mexico;1350
Vega del Rosario;Mexico;1014
Vega de Alatorre;Mexico;7653
Tulcingo de Valle;Mexico;5249
Tulcingo;Mexico;1205
Trapiche del Rosario;Mexico;1379
Tlaquiltenango;Mexico;18334
Dún Laoghaire;Ireland;26525
Duleek;Ireland;4219
Convoy;Ireland;1526
Collooney;Ireland;1610
Cluain Meala;Ireland;17140
Charlestown;Ireland;1033
Athboy;Ireland;2397
Ballyfermot;Ireland;8558
Templeogue;Ireland;7023
Yad Rambam;Israel;1124
Tel Aviv;Israel;432892
Shave Tsiyyon;Israel;1205
Sderot;Israel;27635
Rishon LeTsiyyon;Israel;258535
Ofaqim;Israel;34666
Nevve Yaraq;Israel;1348
I‘billīn;Israel;13305
Giv‘at H̱ayyim Iẖud;Israel;1176
Burgata;Israel;1136
Abū Ghaush;Israel;7698
Yuvallim;Israel;1093
‘Adi;Israel;1910
Port Saint Mary;Isle of Man;0
Yelbarga;India;12023
Yelahanka;India;116447
Varangaon;India;44067
Usilampatti;India;30675
Una;India;17569
Ujjain;India;457346
Bara Uchāna;India;15830
Tufānganj;India;20420
Titlāgarh;India;28405
Tinnanūr;India;22125
Tāttayyangārpettai;India;12604
Tāndā;India;88073
Talen;India;9818
Sūrajgarh;India;19721
Sini;India;6375
Shāhpur;India;9394
Shāhābād;India;73606
Sarka Ghāt;India;3944
Sarīla;India;8012
Sarāi Ākil;India;17443
Sankheda;India;12077
Saligao;India;5804
Sadashivpet;India;37245
Rehli;India;27705
Rāmāpuram;India;5961
Rāmāpuram;India;31169
Rājkot;India;1390640
Rāipur;India;27702
Pune;India;3124458
Pudūr;India;11432
Port Blair;India;112050
Patharia;India;18358
Parvatsar;India;15405
Ponmana;India;29139
Pānihāti;India;378705
Nīmbāhera;India;58085
Nārāyangarh;India;10233
Naraini;India;15077
Nandyāl;India;165337
Naksalbāri;India;57283
Nagrām;India;9858
Nagari;India;25933
Nadiād;India;202067
Murgūd;India;9395
Mugma;India;3195
Mudhol;India;47427
Milak;India;28505
Mettupalayam;India;66944
Mangalagiri;India;59391
Manavālakurichi;India;10720
Mainpuri;India;94619
Maham;India;19383
Ludhiāna;India;1545368
Losal;India;27964
Lalitpur;India;126475
Kutiyāna;India;16877
Kurandvād;India;21388
Kovūr;India;35600
Koratagere;India;14445
Kishni;India;9852
Kheda;India;24767
Khed;India;7370
Kenda;India;15131
Kāyankulam;India;64183
Kātol;India;41893
Karād;India;55663
Kānth;India;24883
Kānnangād;India;68450
Kāmalāpuram;India;14677
Kālīnagar;India;10728
Kālikāpur;India;4061
Kailāras;India;24539
Kabrāi;India;24771
Jogīghopa;India;2415
Jhinjhāna;India;19711
Jasrāsar;India;8000
Jasrāna;India;9883
Jamshedpur;India;1339438
Jalalpore;India;17325
Jalālābād;India;29824
Haraiya;India;9000
Gīdam;India;6228
Garhdiwāla;India;6693
Gangāpur;India;24118
Farīdpur;India;71783
Fālākāta;India;20119
Dūdhi;India;12742
Dhuwaran;India;11473
Dhāmnod;India;29681
Denkanikota;India;19358
Curti;India;13662
Chhota Udepur;India;24517
Chāpra;India;201597
Bissāu;India;22620
Bikramganj;India;42626
Bhiwandi;India;874032
Bhadrāchalam;India;45656
Bhādāsar;India;33006
Beypore;India;70751
Belaguntha;India;10360
Begamganj;India;33467
Bānapur;India;17499
Bāg;India;7764
Badūria;India;49547
Ārvi;India;41837
Angul;India;44386
Angamāli;India;34399
Ambahta;India;14303
Amalāpuram;India;52690
Ābu;India;24981
Sankarpur;India;6244
Monoharpur;India;23362
Manappakkam;India;8851
Chowari;India;3000
Palackattumala;India;1200
Williamnagar;India;0
Dasarahalli;India;0
Namsai;India;0
Kiltan;India;3946
Erbil;Iraq;1612700
Beḧirke;Iraq;0
Badrah;Iraq;0
Ash Shaţrah;Iraq;82732
Qushtepe;Iraq;0
Tabas;Iran, Islamic Rep. of;49993
Arakvāz-e Malekshāhī;Iran, Islamic Rep. of;0
Mīāneh;Iran, Islamic Rep. of;0
Bardsīr;Iran, Islamic Rep. of;37192
Kord Kūy;Iran, Islamic Rep. of;0
Kabūdarāhang;Iran, Islamic Rep. of;0
Jask;Iran, Islamic Rep. of;0
Esfarāyen;Iran, Islamic Rep. of;59678
Bāgh-e Malek;Iran, Islamic Rep. of;0
Āstārā;Iran, Islamic Rep. of;39065
Zarrīn Shahr;Iran, Islamic Rep. of;0
Shahreẕā;Iran, Islamic Rep. of;0
Dalvík;Iceland;1359
Vittoria;Italy;50852
Villafranca Tirrena;Italy;8124
Vicari;Italy;2563
Valguarnera Caropepe;Italy;7453
Ussana;Italy;4216
Taurianova;Italy;11676
Taormina;Italy;5790
San Benedetto Ullano;Italy;684
Rossano;Italy;5194
Pula;Italy;4883
Paola;Italy;12649
Palermiti;Italy;1246
Palazzolo Acreide;Italy;8357
Nuraxinieddu;Italy;1160
Montalbano Elicona;Italy;1454
Merì;Italy;1988
Mascali;Italy;9377
Malvito;Italy;426
Malfa;Italy;797
Luzzi;Italy;2418
Licodia Eubea;Italy;2921
Gesturi;Italy;1226
Francavilla Angitola;Italy;696
Ferla;Italy;2488
Dinami;Italy;800
Cianciana;Italy;3375
Cerami;Italy;1995
Castronuovo di Sicilia;Italy;2808
Castrignano del Capo;Italy;3350
Cassano Allo Ionio;Italy;11560
Capri Leone;Italy;268
Canolo;Italy;221
Calatafimi;Italy;4572
Burcei;Italy;2882
Belvedere Spinello;Italy;2207
Assoro;Italy;3958
Aci Catena;Italy;24663
Zimone;Italy;424
Vizzola Ticino;Italy;23
Vimercate;Italy;22727
Villa Santina;Italy;2145
Villa di Serio;Italy;6404
Vigonovo-Fontanafredda;Italy;8283
Vestignè;Italy;531
Verolengo;Italy;2575
Vernole;Italy;2813
Vernate;Italy;406
Ventoso;Italy;1844
Vasto;Italy;41409
Varzi;Italy;2306
Valdobbiadene;Italy;6307
Vacri;Italy;327
Uri;Italy;2996
Trinità;Italy;1421
Trepuzzi;Italy;14141
Trentola-Ducenta;Italy;17056
Torrenieri;Italy;1342
Torre de' Picenardi;Italy;1021
Torrazza Coste;Italy;995
Toritto;Italy;8475
Tora;Italy;286
Tocco Caudio;Italy;677
Tesimo;Italy;628
Spotorno;Italy;3841
Spino d'Adda;Italy;6584
Spigno Saturnia Superiore;Italy;231
Spello;Italy;4410
Solarolo;Italy;3045
Sirignano;Italy;2878
Silvano Pietra;Italy;641
Scario;Italy;1124
San Zenone al Lambro;Italy;3203
Sant'Ambrogio sul Garigliano;Italy;622
Santa Marinella;Italy;14034
Venezzano;Italy;1531
Santa Cesarea Terme;Italy;328
San Salvatore Telesino;Italy;2184
San Quirino;Italy;2199
San Quirico;Italy;1146
San Pio delle Camere;Italy;345
San Pietro d'Olba;Italy;206
San Donato Val di Comino;Italy;1256
San Donato di Lecce;Italy;4458
San Cristoforo;Italy;588
Saludecio;Italy;611
Rutigliano;Italy;17674
Rovagnate;Italy;1968
Lucino-Rodano;Italy;2082
Roccamandolfi;Italy;913
Rocca d'Arce;Italy;157
Quarantoli;Italy;1059
Pozzaglio ed Uniti;Italy;1202
Postalesio;Italy;307
Portobuffolè;Italy;629
Porlezza;Italy;4274
Porcellengo;Italy;1307
Ponte Nizza;Italy;256
Giovi-Ponte alla Chiassa;Italy;1715
Pomigliano d'Arco;Italy;38921
Poiana Maggiore;Italy;2328
Pocenia;Italy;1451
Piubega;Italy;835
Pineto;Italy;5096
Pignola;Italy;3599
Pieve Vergonte;Italy;1888
Pietravairano;Italy;2201
Petriano;Italy;303
Parolise;Italy;538
Papozze;Italy;1687
Palombaio;Italy;2386
Palazzo San Gervasio;Italy;4917
Ostiano;Italy;2808
Orte;Italy;3865
Orsenigo;Italy;2134
Oria;Italy;14715
Nove;Italy;4599
Novate Mezzola;Italy;1377
Nova Siri;Italy;998
Nerola;Italy;906
Nereto;Italy;3951
Nemoli;Italy;615
Nemi;Italy;1156
